Name,Latitude,Longitude,,
SME.MOS_CTG_1,31.61643375,-89.24880981,,
SME.MOS_CTG_2,31.61643375,-89.24880981,,
SME.MOS_STG_1,31.61643375,-89.24880981,,
SME.MOS_STG_2,31.61643375,-89.24880981,,
EES.G_GULF_A,31.99456659,-91.05606079,,
EES.G_GULF_L,31.99456659,-91.05606079,,
EES.G_GULF_M,31.99456659,-91.05606079,,
EES.G_GULF_N,31.99456659,-91.05606079,,
SME.GRANDGULF,32.031829,-91.03683472,,
SME.SYLV_1,32.0602314,-89.48638916,,
SME.SYLV_2,32.0602314,-89.48638916,,
SME.SYLV_3,32.0602314,-89.48638916,,
SME.PAULDING,32.07140366,-88.93569946,,
LEPA.LEPA,32.11794017,-93.50875854,,
EES.B_WILSON1,32.14026925,-90.97091675,,
EES.B_WILSON2,32.14026925,-90.97091675,,
CLEC.DPS,32.16584796,-93.70101929,,
EES.RX_BRN3,32.31800878,-90.2022171,,
EES.RX_BRN4,32.31800878,-90.2022171,,
EES.RX_BRN5_CT,32.31800878,-90.2022171,,
EES.HINDS1_CT1,32.38738369,-90.28152466,,
EES.HINDS1_CT2,32.38738369,-90.28152466,,
EES.HINDS1_ST,32.38738369,-90.28152466,,
EES.STERL7,32.67914703,-92.04483032,,
LAGN.STET1,32.70203108,-92.08534241,,
LAGN.STET10,32.70203108,-92.08534241,,
LAGN.STET2,32.70203108,-92.08534241,,
LAGN.STET3,32.70203108,-92.08534241,,
LAGN.STET4,32.70203108,-92.08534241,,
LAGN.STET6,32.70203108,-92.08534241,,
LAGN.STET7,32.70203108,-92.08534241,,
LAGN.STET8,32.70203108,-92.08534241,,
LAGN.STET9,32.70203108,-92.08534241,,
EES.OUACHITA1,32.70457337,-92.05856323,,
EES.OUACHITA2,32.70457337,-92.05856323,,
EES.OUACHITA3,32.70457337,-92.05856323,,
EES.PERVL1,32.70457337,-92.05856323,,
EES.PERVL2_CT,32.70457337,-92.05856323,,
EES.ATTALA1,33.06300348,-89.78302002,,
SOCO,33.21387386,-86.76864624,,
EAI.PUPP_2A,33.34865536,-92.66212463,,
EAI.PUPP_2B,33.34865536,-92.66212463,,
EAI.PUPP_2C,33.34865536,-92.66212463,,
EAI.PUPP_3A,33.34865536,-92.66212463,,
EAI.PUPP_3B,33.34865536,-92.66212463,,
EAI.PUPP_3C,33.34865536,-92.66212463,,
EAI.PUPP_4A,33.34865536,-92.66212463,,
EAI.PUPP_4B,33.34865536,-92.66212463,,
EAI.PUPP_4C,33.34865536,-92.66212463,,
EAI.PUPP1_CT1,33.34865536,-92.66212463,,
EAI.PUPP1_CT2,33.34865536,-92.66212463,,
EAI.PUPP1_ST,33.34865536,-92.66212463,,
EES.G_ANDRUS1,33.41894824,-91.05228424,,
EES.HEND1,33.52124704,-90.30349731,,
EES.HEND2,33.52124704,-90.30349731,,
EAI.AECCMCCLLN,33.5912857,-92.79190063,,
EAI.AECCHYDRO2,34.06813214,-91.57516479,,
EAI.DEGRAY1,34.2002176,-93.0947113,,
EAI.DEGRAY2,34.2002176,-93.0947113,,
EAI.PBENRGY_CT,34.22497479,-91.90475464,,
EAI.PBENRGY_ST,34.22497479,-91.90475464,,
SME.BATESV_1,34.28263777,-89.96017456,,
SME.BATESV_2,34.28263777,-89.96017456,,
SME.BATESV_3,34.28263777,-89.96017456,,
EAI.H_SPR1_CT1,34.36701757,-92.82691956,,
EAI.H_SPR1_CT2,34.36701757,-92.82691956,,
EAI.H_SPR1_ST,34.36701757,-92.82691956,,
EAI.AECCMGVCT1,34.41552023,-92.83035278,,
EAI.AECCMGVCT2,34.41552023,-92.83035278,,
EAI.AECCMGVMST,34.41552023,-92.83035278,,
EAI.LK_CATH4,34.4359101,-92.85232544,,
EAI.REMMEL123,34.43726928,-92.87223816,,
EAI.CARPEN1,34.45765388,-92.95463562,,
EAI.CARPEN2,34.45765388,-92.95463562,,
EAI.WH_BLUFF1,34.47124085,-92.21305847,,
EAI.WH_BLUFF2,34.47124085,-92.21305847,,
SWPP,34.56131163,-95.79391479,,
EAI.BLAKELY1,34.5696802,-93.19221497,,
EAI.BLAKELY2,34.5696802,-93.19221497,,
EAI.AECCWRTCT1,34.58302277,-92.23434448,,
EAI.AECCWRTCT2,34.58302277,-92.23434448,,
EAI.AECCWRTCT3,34.58302277,-92.23434448,,
EAI.AECCWRTCT4,34.58302277,-92.23434448,,
EAI.AECCWRTCT5,34.58302277,-92.23434448,,
EAI.AECCWRTCT6,34.58302277,-92.23434448,,
EAI.AECCWRTCT7,34.58302277,-92.23434448,,
EAI.AECCWRTST1,34.58302277,-92.23434448,,
EAI.AECCWRTST2,34.58302277,-92.23434448,,
EAI.MABELV1_CT,34.64631431,-92.42935181,,
